open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,price_range,close_to_open,target
1196.13,1204.67,1190.57,1200.34,117762.0685,141014996.655708,233151,60055.5007,71918680.428805,14.100000000000136,4.209999999999809,1214.0
1200.33,1224.29,1193.0,1214.0,252794.14,306657437.527479,330000,123469.9434,149737175.610595,31.289999999999964,13.670000000000073,1214.55
1213.99,1219.89,1204.93,1214.55,205519.4944,249325343.252245,296709,97873.3515,118760573.010809,14.960000000000036,0.5599999999999454,1256.9
1214.56,1272.6,1212.71,1256.9,457799.6648,571805761.1580551,526420,236858.3427,295758154.621164,59.88999999999987,42.340000000000146,1251.24
1256.91,1259.95,1242.81,1251.24,272805.33,341379819.27811,339445,137396.5629,171968288.82744,17.1400000000001,-5.670000000000073,1269.14
1251.25,1276.7,1236.0,1269.14,342344.2023,429648347.11260307,444840,172277.4922,216252876.922836,40.700000000000045,17.8900000000001,1264.07
1269.13,1271.09,1261.3,1264.07,129474.2884,163760550.011656,242794,64457.8749,81530432.005823,9.789999999999964,-5.060000000000173,1290.16
1264.06,1296.0,1257.77,1290.16,213636.7848,271373377.530058,341498,113501.533,144256844.746569,38.23000000000002,26.100000000000136,1320.39
1290.15,1344.91,1285.44,1320.39,581727.6968,766640085.9303969,667559,290264.2976,382393990.07095695,59.47000000000003,30.24000000000001,1335.62
1320.4,1347.69,1316.8,1335.62,459660.2307,611680590.741332,467419,223763.8926,297762851.611724,30.8900000000001,15.2199999999998,1389.39
1335.63,1398.0,1321.04,1389.39,472465.9556,635118946.429521,534745,235594.2237,316751892.101341,76.96000000000004,53.75999999999999,1415.92
1389.4,1438.0,1361.92,1415.92,877712.4492,1231660847.868249,873540,438919.3883,616089439.700554,76.07999999999993,26.519999999999982,1451.2
1415.91,1464.0,1401.03,1451.2,499377.8649,709963291.541629,670535,259443.2548,368821974.14258707,62.97000000000003,35.289999999999964,1549.9
1451.21,1599.98,1449.14,1549.9,940691.7774,1444283818.189171,1187799,482842.2219,741178178.5772231,150.83999999999992,98.69000000000005,1552.52
1549.91,1566.66,1516.03,1552.52,387832.7138,596626752.2978431,590180,192499.6889,296178077.150001,50.63000000000011,2.6099999999999,1576.94
1552.52,1604.5,1521.31,1576.94,574622.8953,897953752.929984,802443,283353.4366,442958606.02847904,83.19000000000005,24.420000000000073,1565.57
1576.94,1609.0,1541.15,1565.57,506771.7219,797552620.1873369,703325,253800.4618,399512238.70172095,67.84999999999991,-11.370000000000118,1511.43
1565.56,1610.0,1501.39,1511.43,752534.8857,1172243167.729863,913587,379449.3465,591240910.364482,108.6099999999999,-54.12999999999988,1551.09
1511.44,1564.43,1509.15,1551.09,308679.4645,473220810.93493,477203,157860.3364,242038742.951305,55.27999999999997,39.649999999999864,1658.52
1551.09,1669.9,1542.02,1658.52,440570.9974,702227917.870663,710633,230258.0214,367212821.33223695,127.88000000000011,107.43000000000006,1626.66
1658.53,1679.26,1616.21,1626.66,494248.6009,815990095.346851,648695,242585.2946,400675000.350255,63.049999999999955,-31.86999999999989,1627.44
1626.65,1663.89,1604.0,1627.44,431729.6909,703883818.6174049,550009,216146.2179,352401960.260315,59.8900000000001,0.7899999999999636,1626.29
1627.43,1648.09,1585.29,1626.29,407267.1156,662442276.006642,602844,203026.4669,330314516.706953,62.799999999999955,-1.1400000000001,1555.97
1626.28,1641.46,1535.0,1555.97,462275.3243,742483248.778448,664260,219529.2586,352794905.892124,106.46000000000004,-70.30999999999995,1611.94
1555.97,1641.0,1518.0,1611.94,646474.9166,1010958308.523259,832576,336800.3351,527017728.01554894,123.0,55.97000000000003,1601.09
1611.95,1632.84,1577.43,1601.09,532777.8466,856294452.549072,661710,255584.4969,410800055.45538,55.409999999999854,-10.860000000000127,1597.62
1601.08,1621.0,1552.54,1597.62,512093.3875,810894459.592812,721339,271725.69,430230772.25918,68.46000000000004,-3.4600000000000364,1572.1
1597.61,1606.83,1555.99,1572.1,313675.6574,496009423.632769,461988,159807.553,252625590.628539,50.83999999999992,-25.50999999999999,1644.72
1572.1,1660.0,1566.33,1644.72,551767.9134,892135111.0285101,747055,281776.0177,455478541.95457697,93.67000000000007,72.62000000000012,1566.2
1644.73,1647.53,1535.0,1566.2,595055.3281,945663093.9181169,783703,287321.0407,456477684.329537,112.52999999999997,-78.52999999999997,1585.33
1566.21,1605.18,1561.63,1585.33,348856.6751,550862274.1476929,565125,173798.9667,274479554.846062,43.549999999999955,19.11999999999989,1641.68
1585.32,1647.77,1555.18,1641.68,474617.1709,757974339.888151,795274,246070.2217,393191559.89692,92.58999999999992,56.36000000000013,1643.12
1641.67,1714.68,1626.85,1643.12,629188.8874,1052104526.872657,939545,314689.8073,526350550.18805,87.83000000000015,1.449999999999818,1663.52
1643.12,1676.0,1625.93,1663.52,464815.032,766949169.4304221,714675,229573.0449,378846983.90134096,50.069999999999936,20.40000000000009,1666.38
1663.52,1695.29,1645.43,1666.38,308227.1295,514857995.985798,559308,153457.142,256353550.305223,49.8599999999999,2.8600000000001273,1629.02
1666.39,1673.81,1609.3,1629.02,413579.6748,680127291.926744,680427,198540.8776,326481458.836427,64.50999999999999,-37.37000000000012,1614.29
1629.01,1658.56,1605.01,1614.29,384119.4197,626831152.687586,636588,191802.7932,313101318.539597,53.549999999999955,-14.720000000000027,1671.03
1614.28,1678.37,1613.14,1671.03,451922.4,743635216.728552,746572,234924.0525,386597449.582718,65.22999999999979,56.75,1650.43
1671.03,1697.91,1630.47,1650.43,417966.2539,695793337.577435,671033,205938.1207,342878805.538366,67.44000000000005,-20.59999999999991,1545.35
1650.42,1656.17,1524.4,1545.35,658011.6964,1054014372.583392,973879,317244.9366,508466128.352034,131.76999999999998,-105.07000000000016,1513.06
1545.35,1555.01,1490.0,1513.06,484654.2199,743164643.511499,682215,220852.4958,338760669.128763,65.00999999999999,-32.289999999999964,1538.51
1513.05,1543.0,1505.0,1538.51,289691.5708,440657107.728338,440506,141579.8991,215368016.233777,38.0,25.460000000000036,1514.83
1538.5,1548.02,1493.08,1514.83,286758.374,438014692.308034,490609,134744.9765,205825023.574182,54.940000000000055,-23.670000000000073,1505.24
1514.82,1526.1,1461.93,1505.24,643152.3904,959644223.335073,788402,306701.2995,457512045.48224705,64.16999999999985,-9.579999999999927,1555.71
1505.25,1569.0,1482.66,1555.71,668964.3768,1021642935.313975,861338,329786.2183,503918880.17247295,86.33999999999992,50.460000000000036,1674.92
1555.7,1680.0,1542.55,1674.92,581207.8586,928452953.9450489,852734,303747.759,485366943.877121,137.45000000000005,119.22000000000003,1637.84
1674.92,1742.97,1633.72,1637.84,832723.6731,1408096156.866216,1220762,422120.2495,714045600.344282,109.25,-37.080000000000155,1693.87
1637.83,1722.0,1630.51,1693.87,579934.663,970891863.058295,940022,298275.5336,499403199.621222,91.49000000000001,56.039999999999964,1691.62
1693.81,1713.13,1679.77,1691.62,267305.7813,452969773.61025,457982,131392.3667,222669375.870258,33.36000000000013,-2.1900000000000546,1679.75
1691.62,1726.59,1666.14,1679.75,401023.0477,680092027.331298,634114,198379.91,336553647.754587,60.44999999999982,-11.86999999999989,1703.27
1679.74,1719.89,1650.56,1703.27,451314.8335,765198951.9635769,752116,233136.761,395372679.440455,69.33000000000015,23.529999999999973,1659.76
1703.27,1716.66,1636.3,1659.76,520354.4688,874136698.2845911,837901,261067.8341,438651496.248602,80.36000000000013,-43.50999999999999,1643.14
1659.77,1666.95,1595.07,1643.14,528875.4809,861982489.016571,887617,261477.2949,426091167.735719,71.88000000000011,-16.62999999999988,1650.53
1643.15,1679.0,1628.75,1650.53,501305.9717,829754759.565515,849095,250058.0952,413918144.47803295,50.25,7.379999999999882,1607.8
1650.52,1664.66,1575.64,1607.8,512515.4982,831164574.11824,829249,244939.4562,397377091.02658,89.01999999999998,-42.72000000000003,1594.58
1607.8,1608.98,1557.33,1594.58,290188.0391,462128193.10439295,532834,144096.2347,229488719.31488,51.65000000000009,-13.220000000000027,1641.36
1594.58,1651.26,1587.76,1641.36,308607.9941,499002379.52012897,544008,153077.9388,247588746.299513,63.5,46.77999999999997,1633.45
1641.37,1665.22,1608.0,1633.45,431861.4129,707841123.057607,679771,215202.8928,352736478.154143,57.22000000000003,-7.919999999999845,1605.23
1633.45,1647.52,1596.66,1605.23,393523.1647,640150766.3112049,626287,192261.4758,312879269.16716,50.8599999999999,-28.220000000000027,1665.22
1605.24,1669.72,1595.0,1665.22,474456.8235,780632253.606366,725546,233810.6993,384611475.602082,74.72000000000003,59.98000000000002,1647.86
1665.23,1677.86,1619.18,1647.86,423023.8082,694364877.504408,644400,209908.348,344522660.652602,58.679999999999836,-17.37000000000012,1569.45
1647.86,1649.25,1544.39,1569.45,742816.5976,1166573996.744236,1008133,356042.8657,558918754.5663351,104.8599999999999,-78.40999999999985,1566.73
1569.45,1577.53,1549.12,1566.73,237640.2606,371865636.794456,442158,114523.6396,179242456.92659,28.410000000000082,-2.7200000000000273,1564.58
1566.74,1588.77,1553.05,1564.58,299240.7415,469729098.462738,505034,146252.8571,229586295.581382,35.72000000000003,-2.160000000000082,1565.84
1564.57,1583.49,1554.44,1565.84,307709.3011,482146763.966397,495130,151429.2666,237315661.183636,29.049999999999955,1.2699999999999818,1561.96
1565.84,1584.49,1536.14,1561.96,437947.9032,682865640.744412,601157,222838.1714,347497907.936122,48.34999999999991,-3.8799999999998818,1532.38
1561.95,1570.89,1523.61,1532.38,460101.7658,714552395.9932791,647197,227125.8414,352776402.72266,47.2800000000002,-29.569999999999936,1437.32
1532.38,1546.45,1408.0,1437.32,718485.1364,1072396877.907578,914935,340420.8159,508749569.094812,138.45000000000005,-95.06000000000017,1426.44
1437.32,1439.43,1368.39,1426.44,960262.4509,1353741388.827259,1155209,462418.6232,651918990.291944,71.03999999999996,-10.879999999999882,1471.97
1426.43,1478.07,1408.4,1471.97,1374859.6201,1987926852.348374,1467256,674055.1504,975054688.5093609,69.66999999999985,45.539999999999964,1580.33
1471.93,1594.19,1448.3,1580.33,1002355.0929,1506839740.469654,1253899,507616.3281,763938923.683043,145.8900000000001,108.39999999999986,1673.45
1580.33,1693.49,1565.0,1673.45,1228063.6053,1992277884.7963407,1671283,631386.3058,1024622574.37087,128.49,93.12000000000012,1699.4
