open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
16541.77000000,16628.00000000,16499.01000000,16616.75000000,96925.41374000,1604793789.67721260,3218355,48548.78168000,803841673.83505870
16617.17000000,16799.23000000,16548.70000000,16672.87000000,121888.57191000,2034683215.26787840,4036118,60925.25948000,1017074780.69180630
16672.78000000,16778.40000000,16605.28000000,16675.18000000,159541.53733000,2662765916.32566840,5097596,79595.76246000,1328471402.71367460
16675.65000000,16991.87000000,16652.66000000,16850.36000000,220362.18862000,3709833209.84536520,6310703,109747.11502000,1847617011.38537700
16850.36000000,16879.82000000,16753.00000000,16831.85000000,163473.56641000,2751080253.81773340,4842014,80959.57162000,1362471754.05329920
16831.85000000,17041.00000000,16679.00000000,16950.65000000,207401.28415000,3490305009.68812240,5388661,103320.22965000,1738828235.20230050
16950.31000000,16981.91000000,16908.00000000,16943.57000000,104526.56880000,1770201710.20897340,3227161,51624.83107000,874295207.63651240
16943.83000000,17176.99000000,16911.00000000,17127.83000000,135155.89695000,2291925699.95854550,4036092,67200.60250000,1139647002.76085130
17127.83000000,17398.80000000,17104.66000000,17178.26000000,266211.52723000,4590284350.54616930,6327667,131748.52517000,2271681164.79933240
17179.04000000,17499.00000000,17146.34000000,17440.66000000,221382.42581000,3829247653.73110520,5448751,109377.45606000,1891995855.28760790
17440.64000000,18000.00000000,17315.60000000,17943.26000000,262221.60653000,4586965947.26354980,5627464,129944.56930000,2273368097.02926420
17943.26000000,19117.04000000,17892.05000000,18846.62000000,454568.32178000,8348431207.84600970,8911373,227295.33172000,4174813798.38286060
18846.62000000,20000.00000000,18714.12000000,19930.01000000,368615.87823000,7061633461.44473400,8021774,183448.89377000,3515300890.30505730
19930.01000000,21258.00000000,19888.05000000,20954.92000000,393913.74951000,8183071567.04618820,8659545,197817.55209000,4109568162.17041980
20952.76000000,21050.74000000,20551.01000000,20871.50000000,178542.22549000,3710526606.13896440,5194354,88310.83908000,1835436631.70387060
20872.99000000,21474.05000000,20611.48000000,21185.65000000,293078.08262000,6168654053.04263760,6856434,145352.66942000,3059597458.38535250
21185.65000000,21647.45000000,20841.31000000,21134.81000000,275407.74409000,5840585769.49009330,6440138,137121.64311000,2908227174.24903050
21132.29000000,21650.00000000,20407.15000000,20677.47000000,350916.01949000,7399719195.24672580,7617173,173174.41690000,3652037808.31621500
20677.47000000,21192.00000000,20659.19000000,21071.59000000,251385.84925000,5243024330.01120060,5819932,124924.23436000,2605629874.08902800
21071.59000000,22755.93000000,20861.28000000,22667.21000000,338079.13659000,7256172889.71053270,7382435,170200.04869000,3654038898.27092860
22666.00000000,23371.80000000,22422.00000000,22783.55000000,346445.48432000,7938935168.53201350,7796520,172663.17131000,3956916674.40296310
22783.35000000,23078.71000000,22292.37000000,22707.88000000,253577.75286000,5775552321.54412040,6603827,125842.91663000,2866409820.72257050
22706.02000000,23180.00000000,22500.00000000,22916.45000000,293588.37938000,6704191295.97568070,7258655,145854.70936000,3330927704.48361020
22917.81000000,23162.20000000,22462.93000000,22632.89000000,293158.78254000,6721432962.57384140,7395584,144239.84356000,3307407342.13857970
22631.94000000,23816.73000000,22300.00000000,23060.94000000,346042.83223000,7875590359.11583720,8060446,172647.90115000,3929821773.96511740
23060.42000000,23282.47000000,22850.01000000,23009.65000000,288924.43581000,6664592468.33792820,7181086,143185.08341000,3303064271.05117470
23009.65000000,23500.00000000,22534.88000000,23074.16000000,280833.86315000,6461707755.05391510,7079096,139699.27638000,3214623770.84504020
23074.16000000,23189.00000000,22878.46000000,23022.60000000,148115.71085000,3408985411.31658610,4181816,73861.83566000,1700057503.74953890
23021.40000000,23960.54000000,22967.76000000,23742.30000000,295688.79204000,6941922954.13640640,7030837,149507.50610000,3510026672.79971740
23743.37000000,23800.51000000,22500.00000000,22826.15000000,302405.90121000,7020727239.05965260,7790224,149096.53066000,3461492907.17260580
22827.38000000,23320.00000000,22714.77000000,23125.13000000,264649.34909000,6083858924.53848520,6798411,133028.12717000,3058369006.24069910
23125.13000000,23812.66000000,22760.23000000,23732.66000000,310790.42271000,7212542002.32509920,7863213,156107.58478000,3623730152.71912710
23731.41000000,24255.00000000,23363.27000000,23488.94000000,364177.20751000,8673696845.80511160,9102300,181814.20318000,4330715913.90659360
23489.33000000,23715.70000000,23204.62000000,23431.90000000,332571.02904000,7806490899.91418120,8007846,166143.33246000,3900042090.51636510
23431.90000000,23587.78000000,23253.96000000,23326.84000000,166126.47295000,3886777607.79605080,4852404,81863.93145000,1915443497.68895130
23327.66000000,23433.33000000,22743.00000000,22932.91000000,209251.33917000,4842463016.83393380,5903916,103885.22312000,2404286621.12033370
22932.91000000,23158.25000000,22628.13000000,22762.52000000,265371.60690000,6076050768.11703820,6956395,132350.52989000,3030470974.62453000
22762.52000000,23350.25000000,22745.78000000,23240.46000000,308006.72482000,7085929136.45684950,8293878,154613.24744000,3557209786.51536870
23242.42000000,23452.00000000,22665.85000000,22963.00000000,280056.30717000,6457585647.82065440,7896433,138627.72636000,3196783919.63012260
22961.85000000,23011.39000000,21688.00000000,21796.35000000,402894.69550000,9052973327.19716240,9784291,199309.68374000,4478800426.30285760
21797.83000000,21938.16000000,21451.00000000,21625.19000000,338591.94247000,7369456394.90665450,6993675,167419.66937000,3644087094.70666890
21625.19000000,21906.32000000,21599.78000000,21862.55000000,177021.58433000,3842000897.79758020,4207940,87937.95970000,1908638569.77981010
21862.02000000,22090.00000000,21630.00000000,21783.54000000,204435.65163000,4469822441.43720180,4561903,101194.34699000,2212545781.09311440
21782.37000000,21894.99000000,21351.07000000,21773.97000000,295730.76791000,6404813758.26962980,6503611,147221.38569000,3188732830.19944260
21774.63000000,22319.08000000,21532.77000000,22199.84000000,361958.40109000,7938385476.79208380,7695927,182006.71562000,3991901041.90238260
22199.84000000,24380.00000000,22047.28000000,24324.05000000,375669.16111000,8604133693.66317090,8335550,190798.15520000,4372346767.10361350
24322.87000000,25250.00000000,23505.25000000,23517.72000000,450080.68366000,11074988148.77900860,11006793,224396.77566000,5522891581.32557800
23517.72000000,25021.11000000,23339.37000000,24569.97000000,496813.21376000,11968532252.05732940,10895009,249087.94774000,6001870488.34536700
24568.24000000,24877.00000000,24430.00000000,24631.95000000,216917.25213000,5339920389.51613350,6296097,107467.08761000,2645647445.81960150
24632.05000000,25192.00000000,24192.57000000,24271.76000000,300395.99542000,7408745406.62434370,7660484,149680.28058000,3692030229.98034460
24272.51000000,25121.23000000,23840.83000000,24842.20000000,346938.56997000,8561226688.07291020,9808728,174453.04334000,4305469238.84992180
24843.89000000,25250.00000000,24148.34000000,24452.16000000,376000.82868000,9280992344.42887060,10712371,187029.49757000,4617218785.18770240
