open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
1196.13000000,1204.67000000,1190.57000000,1200.34000000,117762.06850000,141014996.65570800,233151,60055.50070000,71918680.42880500
1200.33000000,1224.29000000,1193.00000000,1214.00000000,252794.14000000,306657437.52747900,330000,123469.94340000,149737175.61059500
1213.99000000,1219.89000000,1204.93000000,1214.55000000,205519.49440000,249325343.25224500,296709,97873.35150000,118760573.01080900
1214.56000000,1272.60000000,1212.71000000,1256.90000000,457799.66480000,571805761.15805500,526420,236858.34270000,295758154.62116400
1256.91000000,1259.95000000,1242.81000000,1251.24000000,272805.33000000,341379819.27811000,339445,137396.56290000,171968288.82744000
1251.25000000,1276.70000000,1236.00000000,1269.14000000,342344.20230000,429648347.11260300,444840,172277.49220000,216252876.92283600
1269.13000000,1271.09000000,1261.30000000,1264.07000000,129474.28840000,163760550.01165600,242794,64457.87490000,81530432.00582300
1264.06000000,1296.00000000,1257.77000000,1290.16000000,213636.78480000,271373377.53005800,341498,113501.53300000,144256844.74656900
1290.15000000,1344.91000000,1285.44000000,1320.39000000,581727.69680000,766640085.93039700,667559,290264.29760000,382393990.07095700
1320.40000000,1347.69000000,1316.80000000,1335.62000000,459660.23070000,611680590.74133200,467419,223763.89260000,297762851.61172400
1335.63000000,1398.00000000,1321.04000000,1389.39000000,472465.95560000,635118946.42952100,534745,235594.22370000,316751892.10134100
1389.40000000,1438.00000000,1361.92000000,1415.92000000,877712.44920000,1231660847.86824900,873540,438919.38830000,616089439.70055400
1415.91000000,1464.00000000,1401.03000000,1451.20000000,499377.86490000,709963291.54162900,670535,259443.25480000,368821974.14258700
1451.21000000,1599.98000000,1449.14000000,1549.90000000,940691.77740000,1444283818.18917100,1187799,482842.22190000,741178178.57722300
1549.91000000,1566.66000000,1516.03000000,1552.52000000,387832.71380000,596626752.29784300,590180,192499.68890000,296178077.15000100
1552.52000000,1604.50000000,1521.31000000,1576.94000000,574622.89530000,897953752.92998400,802443,283353.43660000,442958606.02847900
1576.94000000,1609.00000000,1541.15000000,1565.57000000,506771.72190000,797552620.18733700,703325,253800.46180000,399512238.70172100
